Cites,Authors,Title,Year,Source,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount
22,"C Castillo-Olea, B García-Zapirain Soto…",Automatic classification of sarcopenia level in older adults: a case study at Tijuana General Hospital,2019,International Journal of …,47,22,3.67,7,3
22,"AI Rodríguez-Rejón, MD Ruiz-López…",Diagnosis and prevalence of sarcopenia in long-term care homes: EWGSOP2 versus EWGSOP1,2019,Nutricion …,458,22,3.67,7,3
22,"M Hajaoui, M Locquet, C Beaudart…","Sarcopenia: performance of the SARC-F questionnaire according to the European consensus criteria, EWGSOP1 and EWGSOP2",2019,Journal of the American Medical Directors Association,894,22,3.67,6,4
22,"JS Villada-Gómez, CH González-Correa…","Puntos de corte provisionales para el diagnóstico de sarcopenia en ancianos de Caldas, Colombia",2018,…,995,22,3.14,7,3
22,"MS Mialich, AP Dos Santos, BR da Silva…","Relationship between adiposity indices, lipodystrophy, and sarcopenia in HIV-positive individuals with and without lipodystrophy",2017,Journal of Clinical …,504,22,2.75,6,4
21,"B Nandakumar, F Baffour, NH Abdallah, SK Kumar…",Sarcopenia identified by computed tomography imaging using a deep learning–based segmentation approach impacts survival in patients with newly diagnosed …,2023,Cancer,44,21,10.5,4,5
21,"GG Cappellari, A Semolic, M Zanetti, P Vinci, M Ius…",Sarcopenic obesity in free-living older adults detected by the ESPEN-EASO consensus diagnostic algorithm: validation in an Italian cohort and predictive …,2023,Metabolism,70,21,10.5,4,6
21,"J Zhou, T Li, X Chen, M Wang, W Jiang, H Jia",Comparison of the diagnostic value of SARC-F and its three modified versions for screening sarcopenia in Chinese community-dwelling older adults,2022,"The Journal of Nutrition, Health and Aging",490,21,7,4,6
21,"A Anand, S Mohta, S Agarwal, S Sharma, S Gopi…",European Working Group on Sarcopenia in Older People (EWGSOP2) criteria with population-based skeletal muscle index best predicts mortality in Asians with …,2022,Journal of Clinical and …,637,21,7,4,6
21,"C Tlemsani, JP Durand, B Raynard, MP Revel…",Relationship between the creatinine/cystatin C ratio and muscle mass measured by CT-scan in cancer patients,2022,Clinical nutrition …,658,21,7,4,5
21,"W Kemmler, D Schoene, M Kohl…",Changes in body composition and cardiometabolic health after detraining in older men with osteosarcopenia: 6-month follow-up of the randomized controlled …,2021,Clinical interventions in …,864,21,5.25,5,4
21,"CD Liao, SW Huang, YY Huang, CL Lin",Effects of sarcopenic obesity and its confounders on knee range of motion outcome after total knee replacement in older adults with knee osteoarthritis: a …,2021,Nutrients,788,21,5.25,5,4
21,"C Lee, IJ Park, KW Kim, Y Shin, SB Lim, CW Kim…",Influence of postoperative changes in sarcopenia on long-term survival in non-metastatic colorectal cancer patients,2021,Cancers,189,21,5.25,3,7
21,"PR Boshier, F Klevebro, W Jenq…",Long-term variation in skeletal muscle and adiposity in patients undergoing esophagectomy,2021,Diseases of the …,557,21,5.25,5,4
21,"G Testa, A Vescio, D Zuccalà, V Petrantoni…","Diagnosis, treatment and prevention of sarcopenia in hip fractured patients: where we are and where we are going: a systematic review",2020,Journal of Clinical …,197,21,4.2,4,5
21,C Avgerinou,Sarcopenia: why it matters in general practice,2020,The British Journal of General Practice,371,21,4.2,21,1
21,"DB Rangel Peniche, H Aleman Mateo…",Differences in body composition in older people from two regions of mexico: implications for diagnoses of sarcopenia and sarcopenic obesity,2018,BioMed research …,260,21,3,7,3
21,"KMM Margutti, NJ Schuch…","Inflammatory markers, sarcopenia and its diagnostic criteria among the elderly: a systematic review",2017,Revista Brasileira de …,539,21,2.63,7,3
21,"JH Kim, DH Kim, YS Park","Body composition, sarcopenia, and suicidal ideation in elderly Koreans: Hallym Aging Study",2016,Journal of Korean medical …,877,21,2.33,7,3
20,"DR Mager, A Hager, S Gilmour",Challenges and physiological implications of sarcopenia in children and youth in health and disease,2023,Current Opinion in Clinical …,270,20,10,7,3
20,"T Abe, Y Yoshimura, Y Sato, F Nagano…",Validity of sarcopenia diagnosis defined by calf circumference for muscle mass to predict functional outcome in patients with acute stroke,2023,Archives of gerontology …,335,20,10,4,5
20,"MK Jang, S Park, C Park, AZ Doorenbos, J Go…",Body composition change during neoadjuvant chemotherapy for breast cancer,2022,Frontiers in Oncology,506,20,6.67,3,6
20,"OM Nardone, A Ponsiglione, R de Sire, G Calabrese…",Impact of sarcopenia on clinical outcomes in a cohort of Caucasian active Crohn's disease patients undergoing multidetector CT-enterography,2022,Nutrients,844,20,6.67,4,5
20,"AP Trussardi Fayh, IM de Sousa",Comparison of revised EWGSOP2 criteria of sarcopenia in patients with cancer using different parameters of muscle mass,2021,PLoS One,541,20,5,10,2
20,"A Ngo-Huang, A Herbert, RC Fontillas…","Frequency of sarcopenia, sarcopenic obesity, and changes in physical function in surgical oncology patients referred for prehabilitation",2021,Integrative cancer …,308,20,5,5,4
20,"SS Vidhya, SR Devi, KG Shanthi",Human muscle mass measurement through passive flexible UWB-myogram antenna sensor to diagnose sarcopenia,2020,Microprocessors and Microsystems,71,20,4,7,3
20,"P Sheean, S Gomez-Perez, C Joyce…","Body composition, serum biomarkers of inflammation and quality of life in clinically stable women with estrogen receptor positive metastatic breast cancer",2019,Nutrition and …,439,20,3.33,5,4
20,"O Lee, YS Kim",Association between grip strength as diagnostic criteria of sarcopenia and health-related quality of life in Korean elderly,2018,The Korean Journal of Sports Medicine,793,20,2.86,10,2
19,"S Li, K Xie, X Xiao, P Xu, M Tang, D Li",Correlation between sarcopenia and esophageal cancer: a narrative review,2024,World Journal of Surgical …,794,19,19,3,6
19,"C Kubrak, L Martin, AJ Grossberg, B Olson, F Ottery…",Quantifying the severity of sarcopenia in patients with cancer of the head and neck,2024,Clinical Nutrition,653,19,19,3,6
19,"SA SeyedAlinaghi, M Ghayomzadeh…",A systematic review of sarcopenia prevalence and associated factors in people living with human immunodeficiency virus,2023,"Journal of Cachexia, Sarcopenia and Muscle",654,19,9.5,6,3
19,"E Buccheri, D Dell'Aquila, M Russo, R Chiaramonte…",Can artificial intelligence simplify the screening of muscle mass loss?,2023,Heliyon,33,19,9.5,4,5
19,"J Liao, J Chen, W Xu, J Chen, X Liang, Q Cheng…","Prevalence and associations of sarcopenia, obesity and sarcopenic obesity in end-stage knee osteoarthritis patients",2023,Journal of Health …,144,19,9.5,3,7
19,"A Frisoli Jr, G Duque, AT Paes, AR Diniz…",Sarcopenic obesity definitions and their associations with physical frailty in older Brazilian adults: data from the SARCOS study,2023,… of endocrinology and …,529,19,9.5,4,5
19,"CL Zhuang, QT Dong, HP Shi, FM Zhang, X Luo…",Cachexia versus sarcopenia in clinical characteristics and prognostic value after radical gastrectomy for gastric cancer: a large-scale prospective study,2022,Annals of Surgical …,885,19,6.33,3,6
19,"R Fox, K Stenning, A Slee, J Macnaughtan…","Sarcopenia in liver cirrhosis: Prevalence, pathophysiology and therapeutic strategies",2022,Analytical …,273,19,6.33,4,5
19,"A De Lorenzo, M Pellegrini, P Gualtieri, L Itani…",The risk of sarcopenia among adults with normal-weight obesity in a nutritional management setting,2022,Nutrients,823,19,6.33,4,5
19,"EM Janczyk, N Champigny, E Michel…",Sonoelastography to assess muscular stiffness among older adults and its use for the diagnosis of sarcopenia: a systematic review,2021,Ultraschall in der …,449,19,4.75,5,4
19,"A Ito, M Ishizaka, K Kobayashi, Y Sawaya…","… efficacy of lower calf circumference, SARC-F score, and SARC-CalF score following update from AWGS 2014 to 2019 sarcopenia diagnostic criteria in community …",2021,Journal of Physical …,574,19,4.75,4,5
18,"Y Wang, Y Hu, M Zhang, H Jin, Y Wen…",Bioelectrical impedance analysis–derived phase angle predicts sarcopenia in patients on maintenance hemodialysis,2023,Nutrition in Clinical …,662,18,9,3,6
18,R Krzymińska-Siemaszko…,Comparison of diagnostic value of the SARC-F and its four modified versions in polish community-dwelling older adults,2023,… interventions in aging,962,18,9,9,2
18,"S Zeng, CH Chang, M Sun, WM Chen…",Comparison of surgical complications after curative surgery in patients with oral cavity squamous cell carcinoma and sarcopenia,2023,"Journal of Cachexia, Sarcopenia and Muscle",434,18,9,4,5
18,"A Moroni, S Perna, D Azzolino, C Gasparri, R Zupo…",Discovering the individualized factors associated with sarcopenia and sarcopenic obesity phenotypes—a machine learning approach,2023,Nutrients,2,18,9,3,6
18,"X Luo, B Cai, W Jin","The prevalence rate of adult sarcopenic obesity and correlation of appendicular skeletal muscle mass index with body mass index, percent body fat, waist–hip ratio …",2023,Metabolic Syndrome and Related Disorders,212,18,9,6,3
18,"J Yang, H Ye, Q Zhu, J Zhang, Q Liu, H Xie…",Effects of resistance training on body composition and physical function in elderly patients with osteosarcopenic obesity: a systematic review and meta …,2022,Archives of …,100,18,6,3,7
18,"S Ge, Q Du, X Feng, Y Liu, H Wang, S Hai, X Shi…",Optimal cutoffs for the diagnosis of sarcopenia in older Chinese adults,2022,Frontiers in Nutrition,333,18,6,2,8
18,"V Lage, GP Silva, ACR Lacerda, FA Paula…",Functional tests associated with sarcopenia in moderate chronic obstructive pulmonary disease,2021,Expert Review of …,253,18,4.5,4,5
18,"M Kara, WR Frontera, L Özçakar",Measure what matters most in sarcopenia: regional vs. appendicular muscle mass?,2021,Journal of the American Medical …,925,18,4.5,6,3
18,"GC de Campos, RA Lourenço, CS Lopes","Prevalence of sarcopenic obesity and its association with functionality, lifestyle, biomarkers and morbidities in older adults: the FIBRA-RJ study of frailty in …",2020,Clinics,521,18,3.6,6,3
17,"G Guarneri, N Pecorelli, A Bettinelli, A Campisi…",Prognostic value of preoperative CT scan derived body composition measures in resected pancreatic cancer,2024,European Journal of …hhhh,882,17,17,3,5
17,"VK da Silva Lage, FA de Paula, JM Dos Santos…",Are oxidative stress biomarkers and respiratory muscles strength associated with COPD-related sarcopenia in older adults?,2022,Experimental Gerontology,543,17,5.67,4,4
17,"M Zhuang, M Jin, T Lu, L Lu, BE Ainsworth…",Effects of three modes of physical activity on physical fitness and hematological parameters in older people with sarcopenic obesity: A systematic review and …,2022,Frontiers in Physiology,804,17,5.67,3,6
17,"CH Yen, PS Chang, YH Chang, PT Lin",Identification of coenzyme q10 and skeletal muscle protein biomarkers as potential factors to assist in the diagnosis of sarcopenia,2022,Antioxidants,749,17,5.67,4,4
17,"F Nagano, Y Yoshimura, A Matsumoto, T Bise…",Muscle strength gain is positively associated with functional recovery in patients with sarcopenic obesity after stroke,2022,Journal of Stroke and …,802,17,5.67,3,5
17,"C Guillamón-Escudero, A Diago-Galmés…",SarQoL questionnaire in community-dwelling older adults under EWGSOP2 sarcopenia diagnosis algorithm: a new screening method?,2022,International Journal of …,208,17,5.67,6,3
17,"M Fasullo, E Omer, M Kaspar","Sarcopenia in chronic pancreatitis–prevalence, diagnosis, mechanisms and potential therapies",2022,Current Gastroenterology Reports,256,17,5.67,6,3
17,"YT Huang, YS Tsai, PC Lin, YM Yeh, YT Hsu…",The Value of Artificial Intelligence‐Assisted Imaging in Identifying Diagnostic Markers of Sarcopenia in Patients with Cancer,2022,Disease …,11,17,5.67,3,6
17,"D Strassmann, B Hensen, V Grünwald…",Impact of sarcopenia in advanced and metastatic soft tissue sarcoma,2021,International journal of …,475,17,4.25,4,4
16,J Kim,Machine‐learning classifier models for predicting sarcopenia in the elderly based on physical factors,2024,Geriatrics &Gerontology International,13,16,16,16,1
16,"MW Lee, SK Jeon, WH Paik, JH Yoon…",Prognostic value of initial and longitudinal changes in body composition in metastatic pancreatic cancer,2024,"Journal of Cachexia, Sarcopenia and Muscle",453,16,16,3,5
16,"P Whaikid, N Piaseu",The prevalence and factors associated with sarcopenia in Thai older adults: A systematic review and meta-analysis,2024,International Journal of Nursing Sciences,728,16,16,8,2
16,"R Fonfria-Vivas, P Pérez-Ros…",Assessing quality of life with SarQol is useful in screening for sarcopenia and sarcopenic obesity in older women,2023,Aging Clinical and …,397,16,8,5,3
16,"N Veronese, A Koyanagi, M Barbagallo…",Pain increases the risk for sarcopenia in community-dwelling adults: results from the English Longitudinal Study Of Ageing,2023,The Journals of …,945,16,8,4,4
16,"S Cacciatore, C Massaro…","Preventing osteoporosis, sarcopenia and obesity to care about quality of life",2023,Annals of geriatric …,631,16,8,5,3
16,"M Gažarová, M Bihari, M Lorková, P Lenártová…","… use of different anthropometric indices to assess the body composition of young women in relation to the incidence of obesity, sarcopenia and the premature …",2022,International Journal of …,240,16,5.33,3,5
16,"J Mielgo-Ayuso, D Fernández-Lázaro","Sarcopenia, exercise and quality of life",2021,International journal of …,497,16,4,8,2
16,"CHG Correa, FM Mejía, PAC González…",Bioelectrical impedance analysis and dual x-ray absorptiometry agreement for skeletal muscle mass index evaluation in sarcopenia diagnosis,2020,Physiological …,341,16,3.2,4,4
16,"FI Gorial, OS Sayyid, S Abd Al Obaidi",Prevalence of sarcopenia in sample of Iraqi patients with type 2 diabetes mellitus: A hospital based study,2020,Diabetes &Metabolic Syndrome …,462,16,3.2,5,3
16,"I Ozola-Zālīte, JB Frøkjær, EB Mark, T Gudauskas…",A clinical feasible method for computed tomography-based assessment of sarcopenia in patients with chronic pancreatitis,2019,Pancreas,195,16,2.67,3,5
16,"B Lardiés-Sánchez, A Sanz-París",Sarcopenia and Malnutrition in the Elderly,2017,Frailty and Sarcopenia-Onset …,899,16,2,8,2
15,"U Booranasuksakul, IA Macdonald…","Body composition, sarcopenic obesity, and cognitive function in older adults: findings from the National Health and Nutrition Examination Survey (NHANES) 1999 …",2024,Journal of the …,150,15,15,5,3
15,"HS Kim, H Kim, S Kim, Y Cha, JT Kim, JW Kim…",Precise individual muscle segmentation in whole thigh CT scans for sarcopenia assessment using U-net transformer,2024,Scientific Reports,104,15,15,2,7
15,"F Fantin, A Giani, G Manzato, A Zampieri…","Sarcopenia, sarcopenic obesity, and arterial stiffness among older adults",2024,Frontiers in Cardiovascular Medicine,110,15,15,3,5
15,"C Liu, T Liu, L Deng, Q Zhang, M Song, J Shi…",Sarcopenic obesity and outcomes for patients with cancer,2024,JAMA Network …,46,15,15,2,7
15,"J Ryu, S Eom, HC Kim, CO Kim, Y Rhee…",Chest X‐ray‐based opportunistic screening of sarcopenia using deep learning,2023,"Journal of Cachexia, Sarcopenia and Muscle",17,15,7.5,3,6
15,"K Nam, JY Lee, Y Ko, KW Kim, HS Lee…",Impact of sarcopenia on clinical course of inflammatory bowel disease in Korea,2023,Digestive Diseases and …,158,15,7.5,3,6
15,"E Efthymiou, MG Grammatikopoulou…","Time to deal with rheumatoid cachexia: Prevalence, diagnostic criteria, treatment effects and evidence for management",2022,Mediterranean …,871,15,5,5,3
15,"YJ Tan, SY Lim, VW Yong, XY Choo, YD Ng…",Osteoporosis in Parkinson's disease: relevance of distal radius dual-energy X-ray absorptiometry (DXA) and sarcopenia,2021,Journal of Clinical …,612,15,3.75,3,6
15,"T Takeda, T Sasaki, T Mie, T Furukawa…",The impact of body composition on short-term outcomes of neoadjuvant chemotherapy with gemcitabine plus S-1 in patients with resectable pancreatic cancer,2021,Japanese Journal of …,771,15,3.75,3,5
15,"SW Huang, T Xu, CT Zhang, HL Zhou",Relationship of peripheral lymphocyte subsets and skeletal muscle Mass Index in Sarcopenia: a cross-sectional study,2020,"The Journal of nutrition, health and …",315,15,3,4,4
14,"R Qaisar, MS Iqbal, A Karim, T Muhammad…",A leaky gut contributes to reduced sarcopenia-related quality of life (SarQoL) in geriatric older adults,2024,Quality of Life …,626,14,14,3,5
14,"D Vogele, T Mueller, D Wolf, S Otto, S Manoj, M Goetz…",Applicability of the CT radiomics of skeletal muscle and machine learning for the detection of sarcopenia and prognostic assessment of disease progression in …,2024,Diagnostics,31,14,14,2,7
14,"M Jurdana, M Cemazar",Sarcopenic obesity in cancer,2024,Radiology and Oncology,80,14,14,7,2
14,"RA Merchant, YH Chan, D Anbarasan, I Aprahamian",Association of motoric cognitive risk syndrome with sarcopenia and systemic inflammation in pre-frail older adults,2023,Brain Sciences,641,14,7,4,4
14,"MK Jang, S Park, C Park, A Doorenbos, J Go…","Hematologic toxicities, sarcopenia, and body composition change in breast cancer patients undergoing neoadjuvant chemotherapy",2023,Supportive Care in …,349,14,7,2,6
14,"M Kumari, A Khanna",Sarcopenic obesity and its impact on quality of life: a concise review,2023,Current Aging Science,401,14,7,7,2
14,"DV Sutil, AN Parentoni, LA Da Costa Teixeira…",… of sarcopenia in older women and level of agreement between the diagnostic instruments proposed by the European Working Group on Sarcopenia in Older …,2023,BMC Musculoskeletal …,524,14,7,4,4
14,"HY Park, YH Park, JY Lee, JI Lee",Bioimpedance phase angle and sarcopenia in older patients with prostate cancer,2022,Geriatrics &Gerontology …,938,14,4.67,4,4
14,"E Teixeira, L Bohn, JP Guimarães, I Marques-Aleixo",Portable digital monitoring system for sarcopenia screening and diagnosis,2022,Geriatrics,55,14,4.67,4,4
14,"W Manzano, L Lenchik, AS Chaudhari, L Yao…",Sarcopenia in rheumatic disorders: what the radiologist and rheumatologist should know,2022,Skeletal Radiology,516,14,4.67,3,5
14,"CS Eriksen, N Kimer, C Suetta…",Arm lean mass determined by dual-energy X-ray absorptiometry is superior to characterize skeletal muscle and predict sarcopenia-related mortality in cirrhosis,2021,American Journal of …,538,14,3.5,4,4
14,"YX Li, WW Xia, WY Liu",The influence process of sarcopenia on female cancer: A systematic review and meta‐analysis,2021,Journal of Obstetrics and Gynaecology …,293,14,3.5,5,3
14,"S Velho, S Moço, A Ferreira, R Cruz, L Agostinho…",Dietary patterns and their relationships to sarcopenia in Portuguese patients with gastrointestinal cancer: An exploratory study,2019,Nutrition,952,14,2.33,2,6
14,"I Campodónico, JE Blümel, E Arteaga, MS Vallejo…",Low bone mineral density in middle-aged women: a red flag for sarcopenia,2018,Menopause,680,14,2,3,5
14,"YR Choe, JY Joh, YP Kim",Clinically relevant cut-off points for the diagnosis of sarcopenia in older Korean people,2017,Journals of Gerontology Series A …,731,14,1.75,5,3
13,"WA Debes, M Sadaqa, Z Nemeth, A Aldardour…",Effect of resistance exercise on body composition and functional capacity in older women with sarcopenic obesity—A systematic review with narrative …,2024,Journal of Clinical …,296,13,13,3,5
13,"ST Lee, JP Lim, CN Tan, A Yeo…",SARC‐F and modified versions using arm and calf circumference: Diagnostic performance for sarcopenia screening and the impact of obesity,2024,Geriatrics & …,88,13,13,3,5
13,"KW Kim, J Huh, B Urooj, J Lee, J Lee…",Artificial intelligence in gastric cancer imaging with emphasis on diagnostic imaging and body morphometry,2023,Journal of Gastric …,135,13,6.5,2,6
13,"Y Wang, W Ma, J Pu, F Chen","Interrelationships between sarcopenia, bone turnover markers and low bone mineral density in patients on hemodialysis",2023,Renal Failure,929,13,6.5,3,4
13,"S Ozgur, YA Altinok, D Bozkurt, ZF Saraç, SF Akçiçek",Performance evaluation of machine learning algorithms for sarcopenia diagnosis in older adults,2023,Healthcare,6,13,6.5,3,5
13,"D Ai, N Ding, H Wu",The impact of sarcopenia on nutritional status in elderly patients with gastrointestinal tumors,2023,Scientific Reports,236,13,6.5,4,3
13,"Z Benedek, MF Coroş",The impact of sarcopenia on the postoperative outcome in colorectal cancer surgery,2023,Medicine and Pharmacy Reports,968,13,6.5,7,2
13,"VZ Azevedo, M Ponnaiah, PB Lassen, V Ratziu…",A diagnostic proposal for sarcopenic obesity in adults based on body composition phenotypes,2022,Clinical Nutrition …,1,13,4.33,3,5
13,"XD Chen, WJ Chen, ZX Huang, LB Xu, HH Zhang…",Establish a new diagnosis of sarcopenia based on extracted radiomic features to predict prognosis of patients with gastric cancer,2022,Frontiers in Nutrition,667,13,4.33,2,6
13,"VHF Oliveira, AL Borsari, JDG Cárdenas…",Low agreement between initial and revised European consensus on definition and diagnosis of sarcopenia applied to people living with HIV,2021,JAIDS Journal of …,601,13,3.25,3,4
13,"A Iukuridze, JB Teh, J Ramos, TC Vera, K Lee…",Sarcopenia is a clinically relevant and independent predictor of health outcomes after chimeric antigen receptor T-cell therapy for lymphoma,2021,Blood,650,13,3.25,2,6
13,"SP Rajan, M Anwar, B Jain, MA Khan, S Dey…",Serum sestrins: potential predictive molecule in human sarcopenia,2021,Aging Clinical and …,613,13,3.25,2,6
13,"D Ljubas Kelecic, A Lelas, I Karas, L Desnica…",Sarcopenia among patients after allogeneic hematopoietic stem cell transplantation and the impact of chronic graft-versus-host disease,2020,Journal of cancer …,766,13,2.6,3,5
13,"SM Yakout, SA Alkahtani, D Al-Disi, KS Aljaloud…",Coexistence of pre-sarcopenia and metabolic syndrome in Arab men,2019,Calcified tissue …,674,13,2.17,3,5
13,"U Safer, HM Terekeci, M Kaplan…",Calf circumference for diagnosis of sarcopenia.,2015,Geriatrics & …,140,13,1.3,3,4
12,"S Nowak, C Kloth, M Theis, M Marinova…",Deep learning–based assessment of CT markers of sarcopenia and myosteatosis for outcome assessment in patients with advanced pancreatic cancer after …,2024,European …,65,12,12,2,5
12,"V Calvez, G Becherucci, C Covello, G Piccirilli, I Mignini…",Navigating the intersection: sarcopenia and sarcopenic obesity in inflammatory bowel disease,2024,Biomedicines,85,12,12,2,6
12,"Z Wang, X Zhou, M Deng, Y Yin, Y Li, Q Zhang…",Clinical impacts of sarcopenic obesity on chronic obstructive pulmonary disease: a cross-sectional study,2023,BMC Pulmonary …,648,12,6,2,7
12,"JH Bae, J Seo, DY Kim",Deep-learning model for predicting physical fitness in possible sarcopenia: analysis of the Korean physical fitness award from 2010 to 2023,2023,Frontiers in Public Health,32,12,6,4,3
12,"D Xie, Q Zhu, J Lu, C Hu, J Niu, C Yu…",Development and validation of a diagnostic nomogram for sarcopenia in Chinese hemodialysis patients,2023,Nephrology Dialysis …,196,12,6,2,7
12,"T Mizuno, Y Matsui, M Tomida, Y Suzuki…","Relationship between quadriceps muscle computed tomography measurement and motor function, muscle mass, and sarcopenia diagnosis",2023,Frontiers in Endocrinology,782,12,6,2,5
12,"SG Aslan, H Genç","Sarcopenia in knee osteoarthritis: the association with clinical and sonographic findings, physical function, and nutrition",2023,Irish Journal of Medical Science (1971-),301,12,6,6,2
12,"B Merle, M Cottard, E Sornay-Rendu, P Szulc…",Spondyloarthritis and sarcopenia: prevalence of probable sarcopenia and its impact on disease burden: the saspar study,2023,Calcified Tissue …,839,12,6,2,5
12,"DC Gross, CR Cheever, JA Batsis",Understanding the development of sarcopenic obesity,2023,Expert review of endocrinology …,442,12,6,4,3
12,"A Nakamura, T Yoshimura, T Sato, T Ichikawa, T Sato",Diagnosis and pathogenesis of sarcopenia in chronic liver disease using liver magnetic resonance imaging,2022,Cureus,438,12,4,2,5
12,"EMP Ruthes, BCC Lenardt, AD Lass…",Lean mass and strength profile of women submitted to bariatric surgery: comparison of the EWGSOP2 and FNIH classification for sarcopenia–ASBS program phase II,2022,Gynecological …,733,12,4,3,4
12,"AFB Buzza, CA Machado, F Pontes…",Prevalence of sarcopenia in women at stable weight phase after Roux-en-Y gastric bypass,2022,… of Endocrinology and …,435,12,4,3,4
12,"HL Robertson, C Michel, L Bartl…",Sarcopenia in urologic oncology: Identification and strategies to improve patient outcomes,2022,… Oncology: Seminars and …,759,12,4,3,4
12,AJ Cruz-Jentoft,Diagnosing sarcopenia: turn your eyes back on patients,2021,Age and Ageing,193,12,3,12,1
12,"MSA Guimarães, CA Dos Santos…","Prevalence, diagnostic criteria, and factors associated with sarcopenic obesity in older adults from a low middle income country: a systematic review",2021,Clinical nutrition …,131,12,3,4,3
12,"MH Alhussain, S Alkahtani, O Aljuhani, SS Habib",Effects of nutrient intake on diagnostic measures of Sarcopenia among Arab men: a cross-sectional study,2020,Nutrients,414,12,2.4,3,4
12,"F Bulbul, I Koca, L Tamam, ME Demirkol…",The prevalence of sarcopenia in bipolar disorder,2020,Neuropsychiatric …,553,12,2.4,2,5
12,"E Kałędkiewicz, M Milewska, M Panczyk…",The prevalence of sarcopenic obesity in postmenopausal women with a history of breast cancer depending on adopted methodology–a case–control study,2020,Journal of Hepatology,297,12,2.4,3,4
12,FR Pérez-López,Dynapenia and sarcopenia during female midlife,2017,Menopause: a comprehensive approach,915,12,1.5,12,1
11,"W Tack, AM De Cock, EL Dirinck…",Pathophysiological interactions between sarcopenia and type 2 diabetes: A two‐way street influencing diagnosis and therapeutic options,2024,"Diabetes, Obesity …",330,11,11,3,4
11,"PE Hanna, T Ouyang, I Tahir…","Sarcopenia, adiposity and large discordance between cystatin C and creatinine‐based estimated glomerular filtration rate in patients with cancer",2024,"Journal of Cachexia, Sarcopenia and Muscle",514,11,11,3,4
11,"YT Hsu, JY Lin, CJ Lin, YJ Lee, WH Chang","Association of possible sarcopenia or sarcopenia with body composition, nutritional intakes, serum vitamin D levels, and physical activity among patients with …",2023,Nutrients,125,11,5.5,2,5
11,"OM Griffin, Y Bashir, D O'Connor, J Peakin…","Measurement of body composition in pancreatic cancer: a systematic review, meta-analysis, and recommendations for future study design",2023,Digestive …,708,11,5.5,2,5
11,"K Papadimitriou, P Detopoulou, K Soufleris…","Nutritional risk and sarcopenia features in patients with Crohn's disease: relation to body composition, physical performance, nutritional questionnaires and …",2023,Nutrients,432,11,5.5,3,4
11,"J Wu, S Lin, J Guan, X Wu, M Ding…",Prediction of the sarcopenia in peritoneal dialysis using simple clinical information: A machine learning‐based model,2023,Seminars in dialysis,50,11,5.5,2,6
11,"DSVM Clement, ME Leerdam, S de Jong, MO Weickert…",Prevalence of sarcopenia and impact on survival in patients with metastatic gastroenteropancreatic neuroendocrine tumours,2023,Cancers,338,11,5.5,2,5
11,"E Kripa, V Rizzo, F Galati, G Moffa, F Cicciarelli…",Do body composition parameters correlate with response to targeted therapy in ER+/HER2-metastatic breast cancer patients? Role of sarcopenia and obesity,2022,Frontiers in Oncology,429,11,3.67,2,6
11,"Z Qin, K Lu, T Jiang, M Wang, Y Weng…",Evaluating sarcopenia by using the bioelectrical impedance analysis in patients with acute myeloid leukemia after chemotherapy,2022,… Journal of General …,261,11,3.67,2,6
11,"RD Boutin, DK Houston, AS Chaudhari…",Imaging of sarcopenia,2022,Radiologic …,736,11,3.67,3,4
11,"Y Tseng, S Mo, Y Zeng, W Zheng, H Song…",Machine learning model in predicting sarcopenia in Crohn's disease based on simple clinical and anthropometric measures,2022,International Journal of …,8,11,3.67,2,6
11,"Y Tabara, T Ikezoe, K Setoh, K Sugimoto…",Comparison of diagnostic significance of the initial versus revised diagnostic algorithm for sarcopenia from the Asian Working Group for Sarcopenia,2020,Archives of gerontology …,739,11,2.2,2,5
11,"RR Deer, L Akhverdiyeva, YF Kuo, E Volpi",Developing a screening tool for sarcopenia in hospitalized geriatric patients: Estimation of appendicular skeletal muscle mass using bioelectrical impedance,2020,Clinical Nutrition,505,11,2.2,3,4
11,Q Dong,Fully-automated segmentation of muscle measurement on CT in detecting central sarcopenia: a trend of standardization,2020,Academic Radiology,321,11,2.2,11,1
11,"A Cernea, JL Fernández-Martínez…",Prognostic networks for unraveling the biological mechanisms of Sarcopenia,2019,Mechanisms of Ageing …,402,11,1.83,4,3
11,"FAP Villada, SAA Franco, JA de Paz Fernández",Sarcopenia in community-dwelling persons over 60 years of age from a northern Spanish city: relationship between diagnostic criteria and association with the …,2015,Nutrición hospitalaria,395,11,1.1,4,3
10,"EJ Stein, C Neill, S Nair, JG Terry, JJ Carr…",Associations of sarcopenia and body composition measures with mortality after transcatheter aortic valve replacement,2024,Circulation …,829,10,10,2,6
10,"MK Jang, S Park, R Raszewski, CG Park…",Prevalence and clinical implications of sarcopenia in breast cancer: a systematic review and meta-analysis,2024,Supportive Care in …,488,10,10,2,5
10,"Q Zhang, J Ren, X Tan, M He, T Qiu…",18F-fluorodeoxyglucose PET/computed tomography metabolic parameters and sarcopenia in pancreatic cancer,2023,Nuclear Medicine …,923,10,5,2,6
10,"K Oura, A Morishita, T Manabe, K Takuma, M Nakahara…",Relationship between accurate diagnosis of sarcopenia and prognosis in patients with hepatocellular carcinoma treated with atezolizumab plus bevacizumab …,2023,Cancers,263,10,5,2,6
